,apple,banana,beef,bread,broccoli,butter,carrot,cheese,chicken,chocolate,cinnamon,corn,cucumber,egg,eggplant,fish,garlic,ginger,lemon,mushroom,olives,onion,orange,parsley,pasta,peas,potato,rice,spinach,tomato,age,gender,label
0,0,0,0,2,0,1,0,1,3,0,0,0,0,2,0,0,4,0,3,0,0,2,0,1,0,0,0,0,0,0,24,male,104
1,0,0,0,2,0,1,0,1,3,0,0,0,0,2,0,0,4,0,3,0,0,2,0,1,0,0,0,0,0,0,24,male,104
2,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,24,male,105
3,0,0,0,1,0,1,0,2,2,0,0,0,0,2,0,0,4,0,2,0,0,3,0,1,0,0,0,0,0,0,24,male,115
4,0,0,0,1,0,1,0,2,2,0,0,0,0,2,0,0,4,0,2,0,0,3,0,1,0,0,0,0,0,0,24,male,115
5,0,0,0,2,0,1,0,2,3,0,0,0,0,2,0,0,5,0,2,0,0,3,0,1,0,0,0,0,0,0,24,male,124
6,0,0,0,2,0,1,0,2,3,0,0,0,0,1,0,0,5,0,3,0,0,3,0,1,0,0,0,0,0,0,24,male,139
7,2,0,0,0,0,2,1,0,1,0,0,3,1,3,0,0,4,1,0,0,0,3,2,0,0,1,0,2,0,1,20,female,115
8,2,0,0,1,0,2,1,0,2,0,0,2,1,3,0,0,4,0,1,0,0,2,2,0,0,1,0,2,0,1,20,female,152
9,2,0,0,1,0,2,1,0,1,0,0,3,1,3,0,0,4,1,1,0,0,3,2,0,0,1,0,1,0,0,20,female,156
10,1,0,0,1,0,2,1,0,2,0,0,2,1,3,0,0,4,1,1,0,0,2,1,0,0,1,0,2,0,1,20,female,160
11,1,0,0,1,0,2,1,0,2,0,0,2,1,3,0,0,4,1,1,0,0,2,1,0,0,1,0,2,0,1,20,female,160
12,2,0,0,1,0,1,1,0,2,0,0,3,1,2,0,0,5,1,1,0,0,3,2,0,0,1,0,2,0,1,20,female,161
13,2,0,0,1,0,1,1,0,2,0,0,3,1,2,0,0,5,1,1,0,0,3,2,0,0,1,0,2,0,1,20,female,161
14,2,0,0,1,0,2,0,0,2,0,0,3,0,2,0,0,5,1,1,0,0,3,2,0,0,0,0,1,0,1,20,female,185
15,1,0,0,0,0,5,0,1,2,0,1,0,0,2,0,0,4,1,3,0,0,2,0,1,0,0,1,2,0,1,40,male,104
16,1,0,0,0,0,4,0,2,1,0,1,0,0,1,0,0,4,1,3,0,0,2,0,0,0,0,1,2,0,1,40,male,105
17,1,0,0,0,0,5,0,2,2,0,1,0,0,2,0,0,5,1,2,0,0,3,0,1,0,0,1,2,0,1,40,male,109
18,1,0,0,0,0,4,0,2,2,0,1,0,0,2,0,0,4,1,2,0,0,3,0,1,0,0,1,2,0,1,40,male,122
19,1,0,0,0,0,5,0,2,2,0,1,0,0,2,0,0,5,1,3,0,0,3,0,1,0,0,1,2,0,1,40,male,123
20,1,0,0,0,0,4,0,2,1,0,1,0,0,2,0,0,4,1,3,0,0,2,0,1,0,0,1,1,0,0,40,male,131
21,1,0,0,0,0,4,0,2,2,0,1,0,0,2,0,0,4,1,3,0,0,3,0,1,0,0,0,1,0,1,40,male,134
22,0,0,0,0,0,4,0,1,2,0,0,0,0,1,0,0,5,0,2,0,0,3,0,1,0,0,1,2,0,1,40,male,136
23,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,4,4,4,0,0,6,0,2,0,0,4,2,0,2,70,male,339
24,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,3,3,4,0,1,7,0,3,0,0,4,2,0,1,70,male,367
25,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,3,3,4,0,1,7,0,3,0,0,4,2,0,1,70,male,367
26,3,0,0,0,0,3,3,0,3,0,3,0,0,1,0,0,4,4,4,0,1,6,0,2,0,0,4,2,0,2,70,male,383
27,3,0,0,1,0,3,3,0,3,0,3,0,0,1,0,0,4,4,4,0,1,7,0,2,0,0,3,2,0,2,70,male,103
28,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,4,4,3,0,1,7,0,3,0,0,4,2,0,2,70,male,107
29,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,4,4,3,0,1,7,0,3,0,0,4,2,0,2,70,male,107
30,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,4,4,3,0,1,7,0,3,0,0,4,2,0,2,70,male,109
31,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,4,4,3,0,1,7,0,3,0,0,4,2,0,2,70,male,109
32,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,3,3,4,0,1,6,0,3,0,0,4,1,0,2,70,male,110
33,3,0,0,1,0,3,3,0,3,0,3,0,0,2,0,0,3,3,4,0,1,6,0,3,0,0,4,1,0,2,70,male,110
34,2,0,0,1,0,2,2,0,2,0,2,0,0,2,0,0,4,4,4,0,1,6,0,3,0,0,3,2,0,2,70,male,114
35,2,0,0,1,0,2,2,0,2,0,2,0,0,2,0,0,4,4,4,0,1,6,0,3,0,0,3,2,0,2,70,male,114
36,2,0,0,1,0,2,2,0,2,0,2,0,0,2,0,0,4,4,4,0,1,6,0,3,0,0,3,2,0,2,70,male,114
37,0,0,0,2,0,1,0,0,5,0,0,0,0,5,2,1,10,4,8,0,0,0,0,1,0,2,0,2,0,4,25,male,601
38,0,0,1,3,0,1,0,0,5,0,0,0,0,5,2,1,9,4,7,0,0,0,0,0,0,2,0,2,0,5,25,male,647
39,0,0,1,3,0,1,0,0,4,0,0,0,0,5,2,1,9,3,8,0,0,0,0,1,0,2,0,2,0,5,25,male,659
40,0,0,1,3,0,1,0,0,5,0,0,0,0,5,2,0,9,3,8,0,0,0,0,1,0,2,0,2,0,5,25,male,689
41,0,0,1,2,0,0,0,0,5,0,0,0,0,5,2,1,9,4,7,0,0,0,0,1,0,2,0,2,0,4,25,male,691
42,0,0,1,3,0,1,0,0,5,0,0,0,0,4,1,1,10,4,7,0,0,0,0,1,0,1,0,2,0,5,25,male,703
43,0,0,1,3,0,1,0,0,5,0,0,0,0,4,1,1,10,4,7,0,0,0,0,1,0,1,0,2,0,5,25,male,703
44,0,0,1,3,0,1,0,0,4,0,0,0,0,4,2,1,9,4,7,0,0,0,0,1,0,2,0,2,0,4,25,male,716
45,0,0,1,3,0,1,0,0,4,0,0,0,0,4,2,1,9,4,7,0,0,0,0,1,0,2,0,2,0,4,25,male,716
46,0,0,1,3,0,1,0,0,4,0,0,0,0,4,2,1,9,4,7,0,0,0,0,1,0,2,0,2,0,4,25,male,716
47,0,0,1,3,0,1,0,0,5,0,0,0,0,5,2,1,9,4,8,0,0,0,0,1,0,2,0,2,0,5,25,male,714
48,0,0,1,3,0,1,0,0,5,0,0,0,0,5,2,1,9,4,8,0,0,0,0,1,0,2,0,2,0,5,25,male,714
49,0,0,1,3,0,1,0,0,5,0,0,0,0,5,2,1,10,3,8,0,0,0,0,1,0,2,0,1,0,5,25,male,723
50,0,0,1,3,0,1,0,0,5,0,0,0,0,5,2,1,10,3,8,0,0,0,0,1,0,2,0,1,0,5,25,male,723
51,0,0,1,2,0,1,0,0,4,0,0,0,0,5,2,1,9,4,7,0,0,0,0,1,0,2,0,2,0,5,25,male,115
52,0,0,0,1,1,6,0,1,2,0,0,1,0,2,0,0,6,1,3,0,1,1,2,4,0,0,0,1,0,0,45,male,930
53,0,0,0,2,1,6,0,1,3,0,0,1,0,3,0,0,6,1,3,0,1,2,1,4,0,0,0,1,0,0,45,male,947
54,0,0,0,2,1,6,0,1,3,0,0,1,0,3,0,0,6,1,3,0,1,2,1,4,0,0,0,1,0,0,45,male,947
55,0,0,0,2,1,7,0,1,3,0,0,1,0,3,0,0,7,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,949
56,0,0,0,2,1,7,0,1,3,0,0,1,0,3,0,0,7,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,949
57,0,0,0,2,1,7,0,1,3,0,0,1,0,3,0,0,7,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,949
58,0,0,0,2,0,7,0,0,3,0,0,1,0,3,0,0,7,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,957
59,0,0,0,2,1,7,0,1,3,0,0,1,0,2,0,0,7,1,3,0,1,2,2,3,0,0,0,1,0,0,45,male,969
60,0,0,0,2,1,6,0,1,3,0,0,1,0,3,0,0,6,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,975
61,0,0,0,2,1,7,0,1,2,0,0,1,0,3,0,0,6,1,2,0,1,1,2,3,0,0,0,1,0,0,45,male,982
62,0,0,0,2,1,6,0,1,3,0,0,1,0,3,0,0,6,1,2,0,0,2,2,3,0,0,0,1,0,0,45,male,992
63,0,0,0,2,1,7,0,1,3,0,0,1,0,3,0,0,7,0,3,0,1,2,2,4,0,0,0,1,0,0,45,male,1003
64,0,0,0,2,1,6,0,1,3,0,0,1,0,2,0,0,7,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,1011
65,0,0,0,1,1,7,0,1,3,0,0,0,0,3,0,0,7,1,3,0,1,2,2,4,0,0,0,1,0,0,45,male,1044
66,0,0,0,2,1,6,0,1,2,0,0,1,0,3,0,0,6,1,2,0,1,2,2,3,0,0,0,0,0,0,45,male,116
67,3,0,0,0,0,5,0,0,2,0,0,3,0,6,2,1,8,3,5,0,0,2,0,3,1,0,3,2,0,1,65,male,1051
68,3,1,0,0,0,5,0,0,2,0,0,3,0,5,2,0,8,3,6,0,0,1,0,3,0,0,3,2,0,1,65,male,1056
69,2,1,0,0,0,5,0,0,2,0,0,3,0,6,2,1,8,3,6,0,0,1,0,3,1,0,3,2,0,0,65,male,1075
70,3,1,0,0,0,4,0,0,3,0,0,2,0,6,2,1,9,3,6,0,0,2,0,3,1,0,3,2,0,1,65,male,1078
71,2,1,0,0,0,4,0,0,3,0,0,2,0,5,2,1,9,3,6,0,0,2,0,3,1,0,2,2,0,1,65,male,1081
72,2,1,0,0,0,4,0,0,3,0,0,2,0,5,2,1,9,3,6,0,0,2,0,3,1,0,2,2,0,1,65,male,1081
73,3,1,0,0,0,5,0,0,3,0,0,3,0,5,1,1,8,3,6,0,0,2,0,3,1,0,3,2,0,1,65,male,1080
74,3,1,0,0,0,5,0,0,3,0,0,3,0,6,2,1,8,2,6,0,0,2,0,3,1,0,3,2,0,1,65,male,1085
75,3,1,0,0,0,4,0,0,3,0,0,3,0,6,2,1,8,2,6,0,0,2,0,3,1,0,3,1,0,1,65,male,1089
76,3,1,0,0,0,4,0,0,3,0,0,3,0,6,2,1,8,2,6,0,0,2,0,3,1,0,3,1,0,1,65,male,1089
77,3,1,0,0,0,5,0,0,3,0,0,3,0,5,1,1,8,3,6,0,0,2,0,2,1,0,3,2,0,1,65,male,1092
78,3,1,0,0,0,5,0,0,3,0,0,3,0,6,2,1,9,3,5,0,0,2,0,3,1,0,3,2,0,1,65,male,1095
79,3,1,0,0,0,5,0,0,3,0,0,3,0,6,2,1,8,3,5,0,0,2,0,2,1,0,3,2,0,1,65,male,1098
80,3,1,0,0,0,5,0,0,3,0,0,3,0,5,2,1,9,3,6,0,0,2,0,2,1,0,2,2,0,1,65,male,103
81,3,1,0,0,0,5,0,0,3,0,0,3,0,6,2,1,9,3,5,0,0,2,0,3,1,0,3,2,0,1,65,male,109
82,3,1,0,0,0,5,0,0,3,0,0,3,0,6,2,1,9,3,5,0,0,2,0,3,1,0,3,2,0,1,65,male,109
83,3,1,0,0,0,5,0,0,3,0,0,3,0,6,2,1,9,3,5,0,0,2,0,3,1,0,3,2,0,1,65,male,109
84,3,0,0,1,0,4,1,3,1,0,2,5,2,6,0,0,7,4,4,0,0,5,4,0,2,0,1,1,1,2,15,male,274
85,3,0,0,1,0,4,1,3,1,0,2,5,2,6,0,0,7,4,4,0,0,5,4,0,2,0,1,1,1,2,15,male,274
86,3,0,0,0,0,4,1,2,0,0,2,4,1,5,0,0,6,4,4,0,0,4,4,0,2,0,1,1,0,2,15,male,301
87,3,0,0,1,0,4,1,3,1,0,2,5,2,5,0,0,7,4,5,0,0,5,3,0,2,0,1,1,1,3,15,male,305
88,3,0,0,1,0,4,1,3,1,0,2,5,2,5,0,0,7,4,5,0,0,5,3,0,2,0,1,1,1,3,15,male,305
89,3,0,0,1,0,4,1,3,1,0,2,5,2,5,0,0,7,4,5,0,0,5,4,0,2,0,1,1,1,3,15,male,306
90,3,0,0,1,0,3,0,3,1,0,1,5,2,5,0,0,7,4,5,0,0,5,4,0,2,0,1,1,1,3,15,male,311
91,3,0,0,1,0,3,1,3,1,0,2,5,2,6,0,0,7,4,5,0,0,5,4,0,1,0,1,1,1,3,15,male,326
92,3,0,0,1,0,3,1,3,1,0,2,5,2,6,0,0,7,4,5,0,0,5,4,0,1,0,1,1,1,3,15,male,326
93,3,0,0,1,0,4,1,2,1,0,2,4,2,6,0,0,6,4,5,0,0,5,4,0,2,0,1,1,1,3,15,male,112
94,2,0,0,1,0,3,1,2,1,0,1,5,2,5,0,0,7,3,4,0,0,5,4,0,2,0,1,1,1,3,15,male,136
95,3,0,0,1,0,4,1,3,1,0,2,5,2,6,0,0,6,3,4,0,0,4,4,0,2,0,0,1,1,3,15,male,147
96,3,0,0,1,0,4,1,3,1,0,2,4,2,6,0,0,6,3,5,0,0,4,4,0,2,0,1,1,1,3,15,male,152
97,2,0,0,1,0,4,1,3,1,0,2,4,2,6,0,0,6,4,5,0,0,4,3,0,2,0,1,1,1,3,15,male,160
98,2,0,0,1,0,4,1,3,1,0,2,4,2,6,0,0,6,4,5,0,0,4,3,0,2,0,1,1,1,3,15,male,160
99,3,0,0,1,0,4,1,3,1,0,2,5,1,6,0,0,6,3,5,0,0,5,4,0,2,0,1,0,1,3,15,male,159
100,1,0,1,3,0,5,1,1,3,1,2,1,0,3,0,0,5,1,3,0,0,3,1,2,0,0,0,2,0,2,35,male,839
101,1,0,1,3,0,5,1,1,3,0,1,1,0,3,0,0,5,1,3,0,0,3,1,2,0,0,0,2,0,2,35,male,849
102,1,0,1,2,0,6,0,1,3,1,2,1,0,4,0,0,4,1,4,0,0,2,1,2,0,0,0,1,0,2,35,male,853
103,1,0,1,3,0,5,1,1,3,1,2,1,0,3,0,0,4,1,4,0,0,3,1,1,0,0,0,2,0,1,35,male,867
104,1,0,1,3,0,5,1,1,3,1,2,1,0,4,0,0,5,1,4,0,0,3,1,2,0,0,0,2,0,2,35,male,886
105,1,0,1,3,0,6,1,1,3,1,2,1,0,4,0,0,5,1,4,0,0,3,1,2,0,0,0,2,0,2,35,male,889
106,1,0,1,3,0,6,1,1,3,1,2,1,0,4,0,0,5,0,4,0,0,3,1,2,0,0,0,1,0,2,35,male,893
107,1,0,0,2,0,6,1,1,3,1,2,1,0,4,0,0,5,1,4,0,0,3,1,2,0,0,0,2,0,1,35,male,601
108,0,0,1,3,0,5,1,1,3,1,1,1,0,4,0,0,5,1,3,0,0,3,0,2,0,0,0,2,0,2,35,male,106
109,1,0,1,3,0,5,1,1,2,1,2,1,0,3,0,0,4,1,4,0,0,2,1,1,0,0,0,2,0,2,35,male,105
110,1,0,1,2,0,6,1,1,2,1,2,1,0,4,0,0,4,1,3,0,0,3,1,2,0,0,0,2,0,2,35,male,115
111,1,0,1,3,0,6,1,0,2,1,2,0,0,4,0,0,4,1,4,0,0,2,1,2,0,0,0,2,0,2,35,male,118
112,4,1,0,1,1,8,4,0,5,0,4,1,0,1,0,0,2,1,7,0,0,4,0,1,1,1,4,2,0,0,55,male,491
113,4,1,0,1,1,8,4,0,5,0,4,1,0,1,0,0,2,1,7,0,0,4,0,1,1,1,4,2,0,0,55,male,491
114,4,1,0,1,1,8,4,0,5,0,4,1,0,1,0,0,2,1,7,0,0,4,0,1,1,1,4,2,0,0,55,male,485
115,4,1,0,1,1,8,4,0,5,0,4,1,0,1,0,0,2,1,7,0,0,4,0,1,1,1,4,2,0,0,55,male,485
